Primary Proof Obligations
c files                          stmt     local       api  contract      open  violated     total
src/mod_secure_download           485       426       120        29       547         0      1607
src/mod_setenv                    391       372       115        29       521         0      1428
src/mod_simple_vhost              469       548       198        37       606         0      1858
src/mod_ssi                      2253      1548       709        72      1712         0      6294
src/mod_ssi_expr                  609       591       280         8       290         0      1778
src/mod_ssi_exprparser            695       618       192        76       538         1      2119
src/mod_staticfile                774       782       236        26       809         0      2627
src/mod_status                   1581      1767       344        45       991         6      4728
src/mod_trigger_b4_dl             627       398        77        62       637         0      1801
src/mod_userdir                   468       472       150        29       713         0      1832
src/mod_usertrack                 558       431        88        34       559         0      1670
src/mod_webdav                   2257      2851       477       216      2050         1      7851
src/network                       737       855       165       115       558         3      2430
src/network_linux_sendfile        153       205         8        24       307         0       697
src/network_write                 143       157         8        12       271         0       591
src/network_writev                298       310         8        22       628         1      1266
src/plugin                       1445      1143       350        83      1261         0      4282
src/proc_open                     499       391        73        53        82         0      1098
src/request                      1787      1340       402        19      1975         0      5523
src/response                     1132       910       339         4      1303         1      3688
src/server                       3065      1949       146       156      1331         0      6647
src/spawn-fcgi                   1178       330         4        36       161         2      1709
src/splaytree                     271       270         4        44       593         0      1182
src/stat_cache                    249       475       203        44       377         0      1348
src/status_counter                 30        97        12         3        29         0       171
src/stream                         46        52        30         6        12         0       146
-------------------------------------------------------------------------------------------------
total                           77530     69279     22290      5912     67332        54    242343
percent                         31.99     28.59      9.20      2.44     27.78      0.02

Supporting Proof Obligations
c files                          stmt     local       api  contract      open  violated     total
-------------------------------------------------------------------------------------------------
src/array                           0        16        78         2        22         0       118
src/bitset                          0         2         0         0         1         0         3
src/buffer                          4        52       150        13        40         0       259
src/chunk                           2         9       146        12       165         0       334
src/configfile                    102         7       252        43      1131         0      1535
src/configfile-glue                10         2       220         2       351         0       585
src/configparser                   38        69        93        29      1737         0      1966
src/connections                    11         9       747         2       886         0      1655
src/connections-glue                0        25         0         0         0         0        25
src/crc32                           0         1         0         0         0         0         1
src/data_array                      0         3         1         0        75         0        79
src/data_config                     0         5         0         0       127         0       132
src/data_count                      0         2         0         0        28         0        30
src/data_fastcgi                    0         3         0         0        55         0        58
src/data_integer                    0         2         0         0        28         0        30
src/data_string                     0         5         0         0       141         0       146
src/etag                            4         2        92         0         4         0       102
src/fdevent                         0        32         3         1         8         0        44
src/fdevent_freebsd_kqueue          0         1         0         0         0         0         1
src/fdevent_linux_rtsig             0         0         4         0        29         0        33
src/fdevent_linux_sysepoll          0         3         0         0         0         0         3
src/fdevent_poll                    0         1         0         0         3         0         4
src/fdevent_select                  0         1         0         0         0         0         1
src/fdevent_solaris_devpoll         0         1         0         0         0         0         1
src/http-header-glue                2         3        13        46       200         0       264
src/http_auth                     128       272        83        76       561        27      1120
src/http_auth_digest                0         1         0         0         0         0         1
src/http_chunk                      0         8        87         0       119         0       214
src/inet_ntop_cache                 0         1         0         0         0         0         1
src/joblist                         0         2         0         0         4         0         6
src/keyvalue                        6         1         2         0        19         0        28
src/lemon                         123       225       253        59       592         0      1252
src/log                            13        11         2         0       247         0       273
src/md5                            13        13        40         0         9         3        75
src/mod_access                      3         0        17         0        38         0        58
src/mod_accesslog                  20         0        27         0       575         0       622
src/mod_alias                       3         0        18         0        90         0       111
src/mod_auth                       36         3        44         4       566         0       653
src/mod_cgi                        36        84       177         5       608         2       910
src/mod_cml                         9         0        41         0       201         0       251
src/mod_compress                   21         0        91         0       336         0       448
src/mod_dirlisting                 71         4       311         0       634         0      1020
src/mod_evasive                     4         0        27         0        26         0        57
src/mod_evhost                      8         3       100         8       306         0       425
src/mod_expire                      6         0        33         0       107         0       146
src/mod_extforward                  7         7        57         5       178         0       254
src/mod_fastcgi                    47        54       755        19      2863         2      3738
src/mod_flv_streaming               7         0        54         0       188         0       249
src/mod_indexfile                   6         0        29         0       155         0       190
src/mod_proxy                      25         8       270         3      1068         1      1374
src/mod_redirect                    3         0        23         0       123         0       149
src/mod_rewrite                    13         6        28         0       198         0       245
src/mod_rrdtool                     9         0        22         0       323         0       354
src/mod_scgi                       59        54       585        12      2185         1      2895
src/mod_secure_download            17        14        10         0       177         3       218
src/mod_setenv                      7         1        15         0       235         0       258
src/mod_simple_vhost               14         0       163         0       297         0       474
src/mod_ssi                        14         2       260         0      1190         0      1466
src/mod_ssi_expr                   10         8       141         1        83         0       243
src/mod_ssi_exprparser             18        60        44        12       251         0       385
src/mod_staticfile                 23         0        96         0       426         0       545
src/mod_status                    145        19       373         0      1602         0      2139
src/mod_trigger_b4_dl              19         0        21         0       144         0       184
src/mod_userdir                    12         0        26         0       245         0       283
src/mod_usertrack                  22        18        17         0       234         3       291
src/mod_webdav                     54        32       514        38      1552         0      2190
src/network                         0         3        85        19       266         0       373
src/network_linux_sendfile          1         0         8         0        14         0        23
src/network_write                   1         0         8         0        14         0        23
src/network_writev                  1         0         8         0        15         0        24
src/plugin                          0        13        13         4        99         0       129
src/proc_open                      32        14        34        54       149         0       283
src/request                        17        23         3         4       442         0       489
src/response                       41         2       192         0       701         0       936
src/server                          1       123        21       646      2750         0      3541
src/spawn-fcgi                      0         0         0         0         1         0         1
src/splaytree                       0         4         8         0         5         0        17
src/stat_cache                      5         9        41         6       214         0       275
src/status_counter                  0         0        32         0        61         0        93
src/stream                          0         5         0         0         0         0         5
-------------------------------------------------------------------------------------------------
total                            1303      1363      7108      1125     28517        42     39416
percent                          3.31      3.46     18.03      2.85     72.35      0.11


Proof Obligation Statistics

Primary Proof Obligations
                                  stmt     local       api  contract      open  violated     total
--------------------------------------------------------------------------------------------------
allocation-base                      0         1       116        17       135         0       269
cast                              3966         0         0         0        66         0      4032
common-base                          0         0         0         0        91         0        91
common-base-type                     0         0         0         0        79         0        79
controlled-resource                301         0         0         0       118         0       419
format-cast                        200         0         0         0         3         0       203
format-string                      380         0         0         0         5         0       385
in-scope                          7737     16972         0         0      8726         0     33435
index-lower-bound                 1957        66        23         0        50         0      2096
index-upper-bound                 1872        76        19         0       129         2      2096
initialized                      11223     17593      5977       628      7448         0     42869
initialized-range                  825         4         0         0       960         0      1789
int-overflow                       202        72        93        12       552        12       931
int-underflow                      542       109        27        13       240        12       931
lower-bound                       8328     14529      1857         0      8136         0     32850
no-overlap                          94        19         0         0       142         0       255
non-negative                       423        11         0         0         2         0       436
not-null                          3287      1588      9390       937      7123         0     22325
not-zero                            91         2         8         0         6         0       107
null-terminated                   1129         5         0         0       733         0      1867
pointer-cast                      3771        12       207       156       489         0      4635
ptr-lower-bound                   1672       236        23         0       291         1      2222
ptr-upper-bound                   1029        10        29         2       877         1      1947
ptr-upper-bound-deref              304         0       219        10      1685         0      2218
signed-to-signed-cast-lb          1231         3         6         0        26         0      1266
signed-to-signed-cast-ub          1221         2         6         0        37         0      1266
signed-to-unsigned-cast-lb        1000        79        25         7       247         2      1358
signed-to-unsigned-cast-ub        1297         3         0         1        57         1      1358
stack-address-escape              3029        42         0       291       619         0      3981
uint-overflow                     1048        72        74         0      1140         0      2334
uint-underflow                    1341       632        31         0       330        20      2334
unsigned-to-signed-cast            308        15        17         0       168         0       508
unsigned-to-unsigned-cast           45        31         5         2        41         2       124
upper-bound                       8221     13490      1857       859      8423         0     32850
valid-mem                         8357      3604      2280      2977     18007         0     35225
value-constraint                   301         1         1         0       128         1       431
var-args                           364         0         0         0        21         0       385
width-overflow                     434         0         0         0         2         0       436
--------------------------------------------------------------------------------------------------
total                            77530     69279     22290      5912     67332        54    242343
percent                          31.99     28.59      9.20      2.44     27.78      0.02

Supporting Proof Obligations
                                  stmt     local       api  contract      open  violated     total
--------------------------------------------------------------------------------------------------
allocation-base                      0         7       294       106      2179         0      2586
distinct-region                      0         0         0         0        97         0        97
index-lower-bound                   11        20         6         0        16         0        53
index-upper-bound                   11         2         8         0        31         0        52
initialized                         26       353      3072       873      7436         0     11760
int-overflow                         0         8        14         0        56         0        78
int-underflow                        0         1        16         0        56         0        73
lower-bound                          2        43       524         0      3694         0      4263
not-null                           742       155      1674       123      3583         0      6277
not-zero                             6         0         0         0         0         0         6
pointer-cast                         2         0        37         0        74         0       113
preserved-all-memory                 0       352         0         0        39         0       391
ptr-lower-bound                      0         4         2         0        51         0        57
ptr-upper-bound                     17        12        37         0       929         0       995
ptr-upper-bound-deref               22       275        95         0       686        36      1078
signed-to-unsigned-cast-lb           7         1         6         0        29         0        43
uint-overflow                      442        66       141         0      1069         0      1718
uint-underflow                       0        16        32         0       393         6       441
unsigned-to-signed-cast              9         1        25         0       199         0       234
unsigned-to-unsigned-cast            0         0         0         0        11         0        11
upper-bound                          2        43       524         0      3694         0      4263
valid-mem                            3         3       601        23      4190         0      4820
value-constraint                     1         1         0         0         5         0         7
--------------------------------------------------------------------------------------------------
total                             1303      1363      7108      1125     28517        42     39416
percent                           3.31      3.46     18.03      2.85     72.35      0.11
